Error: Mouse output not found
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 10
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 11
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 12
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
year = 7, month = 4, day = 6, hours = 4, minutes = 12, seconds = 13
